city,week_day,date,temp_low1,time1,temp_high1,NA1,NA2,temp_low2,time2,temp_high2,NA3,NA4,temp_low3,time3,temp_high3,NA5,NA6,temp_low4,time4,temp_high4,NA7,NA8
cleveland,Sun, Jun 23,54,12am,57,NA,NA,55,6am,77,NA,NA,79,12pm,81,NA,NA,72,6pm,79,NA,NA
cleveland,Mon, Jun 24,72,12am,73,NA,NA,73,6am,81,NA,NA,79,12pm,82,NA,NA,70,6pm,75,NA,NA
cleveland,Tue, Jun 25,66,12am,70,NA,NA,66,6am,79,NA,NA,81,12pm,84,NA,NA,73,6pm,84,NA,NA
cleveland,Wed, Jun 26,70,12am,73,NA,NA,70,6am,82,NA,NA,84,12pm,88,NA,NA,73,6pm,86,NA,NA
cleveland,Thu, Jun 27,70,12am,72,NA,NA,72,6am,84,NA,NA,81,12pm,88,NA,NA,73,6pm,82,NA,NA
cleveland,Fri, Jun 28,70,12am,72,NA,NA,70,6am,88,NA,NA,81,12pm,90,NA,NA,72,6pm,84,NA,NA
cleveland,Sat, Jun 29,72,12am,73,NA,NA,73,6am,86,NA,NA,88,12pm,90,NA,NA,75,6pm,86,NA,NA
cleveland,Sun, Jun 30,68,12am,75,NA,NA,70,6am,79,NA,NA,77,12pm,79,NA,NA,70,6pm,79,NA,NA
cleveland,Mon, Jul 1,61,12am,66,NA,NA,61,6am,81,NA,NA,82,12pm,88,NA,NA,81,6pm,88,NA,NA
cleveland,Tue, Jul 2,73,12am,79,NA,NA,73,6am,88,NA,NA,79,12pm,90,NA,NA,72,6pm,79,NA,NA
cleveland,Wed, Jul 3,72,12am,72,NA,NA,72,6am,82,NA,NA,82,12pm,84,NA,NA,77,6pm,82,NA,NA
cleveland,Thu, Jul 4,73,12am,75,NA,NA,73,6am,84,NA,NA,79,12pm,88,NA,NA,79,6pm,88,NA,NA
cleveland,Fri, Jul 5,73,12am,77,NA,NA,75,6am,90,NA,NA,75,12pm,91,NA,NA,77,6pm,82,NA,NA
cleveland,Sat, Jul 6,73,12am,77,NA,NA,75,6am,86,NA,NA,82,12pm,90,NA,NA,79,6pm,81,NA,NA
cleveland,Sun, Jul 7,75,12am,77,NA,NA,75,6am,81,NA,NA,75,12pm,81,NA,NA,73,6pm,75,NA,NA
cleveland,Mon, Jul 8,70,12am,72,NA,NA,70,6am,77,NA,NA,75,12pm,79,NA,NA,66,6pm,75,NA,NA
cleveland,Tue, Jul 9,59,12am,66,NA,NA,64,6am,79,NA,NA,79,12pm,82,NA,NA,73,6pm,79,NA,NA
cleveland,Wed, Jul 10,70,12am,75,NA,NA,72,6am,90,NA,NA,90,12pm,93,NA,NA,82,6pm,88,NA,NA
cleveland,Thu, Jul 11,79,12am,82,NA,NA,75,6am,82,NA,NA,84,12pm,88,NA,NA,73,6pm,86,NA,NA
cleveland,Fri, Jul 12,68,12am,73,NA,NA,70,6am,75,NA,NA,75,12pm,79,NA,NA,66,6pm,77,NA,NA
cleveland,Sat, Jul 13,63,12am,66,NA,NA,64,6am,84,NA,NA,88,12pm,91,NA,NA,79,6pm,90,NA,NA
cleveland,Sun, Jul 14,72,12am,79,NA,NA,72,6am,77,NA,NA,79,12pm,82,NA,NA,66,6pm,81,NA,NA
cleveland,Mon, Jul 15,63,12am,66,NA,NA,64,6am,84,NA,NA,88,12pm,91,NA,NA,75,6pm,88,NA,NA
cleveland,Tue, Jul 16,75,12am,75,NA,NA,75,6am,84,NA,NA,82,12pm,88,NA,NA,73,6pm,84,NA,NA
cleveland,Wed, Jul 17,72,12am,73,NA,NA,73,6am,77,NA,NA,75,12pm,84,NA,NA,77,6pm,82,NA,NA
cleveland,Thu, Jul 18,70,12am,75,NA,NA,70,6am,86,NA,NA,88,12pm,90,NA,NA,81,6pm,86,NA,NA
cleveland,Fri, Jul 19,79,12am,81,NA,NA,79,6am,88,NA,NA,90,12pm,93,NA,NA,84,6pm,91,NA,NA
cleveland,Sat, Jul 20,81,12am,84,NA,NA,77,6am,86,NA,NA,90,12pm,95,NA,NA,81,6pm,93,NA,NA
cleveland,Sun, Jul 21,75,12am,82,NA,NA,75,6am,84,NA,NA,81,12pm,88,NA,NA,72,6pm,79,NA,NA
cleveland,Mon, Jul 22,70,12am,72,NA,NA,66,6am,70,NA,NA,73,12pm,75,NA,NA,70,6pm,75,NA,NA
cleveland,Tue, Jul 23,70,12am,72,NA,NA,68,6am,75,NA,NA,75,12pm,75,NA,NA,66,6pm,75,NA,NA
cleveland,Wed, Jul 24,63,12am,64,NA,NA,64,6am,73,NA,NA,73,12pm,75,NA,NA,64,6pm,73,NA,NA
cleveland,Thu, Jul 25,61,12am,63,NA,NA,61,6am,81,NA,NA,81,12pm,81,NA,NA,68,6pm,81,NA,NA
cleveland,Fri, Jul 26,63,12am,68,NA,NA,63,6am,81,NA,NA,81,12pm,82,NA,NA,70,6pm,82,NA,NA
cleveland,Sat, Jul 27,64,12am,68,NA,NA,66,6am,84,NA,NA,84,12pm,86,NA,NA,79,6pm,84,NA,NA
cleveland,Sun, Jul 28,73,12am,75,NA,NA,73,6am,84,NA,NA,86,12pm,90,NA,NA,79,6pm,84,NA,NA
cleveland,Mon, Jul 29,73,12am,75,NA,NA,73,6am,84,NA,NA,84,12pm,90,NA,NA,75,6pm,86,NA,NA
cleveland,Tue, Jul 30,72,12am,73,NA,NA,72,6am,81,NA,NA,79,12pm,84,NA,NA,72,6pm,84,NA,NA
cleveland,Wed, Jul 31,70,12am,72,NA,NA,70,6am,81,NA,NA,75,12pm,79,NA,NA,70,6pm,77,NA,NA
cleveland,Thu, Aug 1,63,12am,70,NA,NA,63,6am,81,NA,NA,79,12pm,82,NA,NA,70,6pm,79,NA,NA
cleveland,Fri, Aug 2,63,12am,66,NA,NA,64,6am,79,NA,NA,81,12pm,82,NA,NA,70,6pm,79,NA,NA
cleveland,Sat, Aug 3,61,12am,66,NA,NA,63,6am,81,NA,NA,81,12pm,82,NA,NA,66,6pm,81,NA,NA
cleveland,Sun, Aug 4,64,12am,66,NA,NA,64,6am,84,NA,NA,82,12pm,88,NA,NA,72,6pm,82,NA,NA
cleveland,Mon, Aug 5,66,12am,72,NA,NA,66,6am,84,NA,NA,84,12pm,88,NA,NA,72,6pm,84,NA,NA
cleveland,Tue, Aug 6,72,12am,73,NA,NA,70,6am,86,NA,NA,72,12pm,86,NA,NA,70,6pm,72,NA,NA
cleveland,Wed, Aug 7,66,12am,70,NA,NA,66,6am,73,NA,NA,77,12pm,81,NA,NA,70,6pm,81,NA,NA
cleveland,Thu, Aug 8,66,12am,70,NA,NA,68,6am,81,NA,NA,81,12pm,82,NA,NA,66,6pm,81,NA,NA
cleveland,Fri, Aug 9,63,12am,72,NA,NA,63,6am,77,NA,NA,79,12pm,81,NA,NA,64,6pm,79,NA,NA
cleveland,Sat, Aug 10,61,12am,64,NA,NA,63,6am,77,NA,NA,75,12pm,79,NA,NA,63,6pm,75,NA,NA
cleveland,Sun, Aug 11,61,12am,64,NA,NA,61,6am,81,NA,NA,79,12pm,81,NA,NA,70,6pm,81,NA,NA
cleveland,Mon, Aug 12,66,12am,70,NA,NA,66,6am,81,NA,NA,73,12pm,79,NA,NA,73,6pm,79,NA,NA
cleveland,Tue, Aug 13,70,12am,73,NA,NA,70,6am,75,NA,NA,75,12pm,79,NA,NA,73,6pm,75,NA,NA
cleveland,Wed, Aug 14,64,12am,72,NA,NA,66,6am,79,NA,NA,77,12pm,81,NA,NA,72,6pm,77,NA,NA
cleveland,Thu, Aug 15,66,12am,72,NA,NA,66,6am,81,NA,NA,73,12pm,81,NA,NA,70,6pm,79,NA,NA
cleveland,Fri, Aug 16,70,12am,72,NA,NA,70,6am,75,NA,NA,79,12pm,81,NA,NA,70,6pm,81,NA,NA
cleveland,Sat, Aug 17,70,12am,73,NA,NA,73,6am,81,NA,NA,73,12pm,86,NA,NA,75,6pm,81,NA,NA
cleveland,Sun, Aug 18,72,12am,75,NA,NA,68,6am,81,NA,NA,81,12pm,91,NA,NA,77,6pm,82,NA,NA
cleveland,Mon, Aug 19,66,12am,70,NA,NA,66,6am,79,NA,NA,81,12pm,82,NA,NA,72,6pm,81,NA,NA
cleveland,Tue, Aug 20,70,12am,72,NA,NA,70,6am,84,NA,NA,88,12pm,90,NA,NA,73,6pm,84,NA,NA
cleveland,Wed, Aug 21,72,12am,73,NA,NA,72,6am,81,NA,NA,81,12pm,86,NA,NA,75,6pm,82,NA,NA
cleveland,Thu, Aug 22,70,12am,73,NA,NA,70,6am,70,NA,NA,70,12pm,73,NA,NA,66,6pm,72,NA,NA
cleveland,Fri, Aug 23,63,12am,64,NA,NA,63,6am,72,NA,NA,72,12pm,73,NA,NA,66,6pm,72,NA,NA
cleveland,Sat, Aug 24,63,12am,68,NA,NA,63,6am,72,NA,NA,70,12pm,73,NA,NA,64,6pm,72,NA,NA
cleveland,Sun, Aug 25,57,12am,63,NA,NA,57,6am,73,NA,NA,75,12pm,77,NA,NA,64,6pm,75,NA,NA
cleveland,Mon, Aug 26,63,12am,64,NA,NA,63,6am,75,NA,NA,75,12pm,81,NA,NA,66,6pm,70,NA,NA
cleveland,Tue, Aug 27,66,12am,68,NA,NA,68,6am,73,NA,NA,73,12pm,73,NA,NA,70,6pm,73,NA,NA
cleveland,Wed, Aug 28,64,12am,72,NA,NA,64,6am,77,NA,NA,73,12pm,79,NA,NA,66,6pm,73,NA,NA
cleveland,Thu, Aug 29,57,12am,63,NA,NA,57,6am,75,NA,NA,77,12pm,81,NA,NA,72,6pm,79,NA,NA
cleveland,Fri, Aug 30,70,12am,72,NA,NA,68,6am,75,NA,NA,77,12pm,81,NA,NA,64,6pm,75,NA,NA
cleveland,Sat, Aug 31,57,12am,63,NA,NA,63,6am,72,NA,NA,70,12pm,73,NA,NA,66,6pm,70,NA,NA
cleveland,Sun, Sep 1,64,12am,66,NA,NA,64,6am,75,NA,NA,70,12pm,79,NA,NA,66,6pm,70,NA,NA
cleveland,Mon, Sep 2,66,12am,66,NA,NA,66,6am,72,NA,NA,73,12pm,79,NA,NA,70,6pm,77,NA,NA
cleveland,Tue, Sep 3,63,12am,68,NA,NA,63,6am,81,NA,NA,81,12pm,82,NA,NA,75,6pm,79,NA,NA
cleveland,Wed, Sep 4,72,12am,75,NA,NA,70,6am,75,NA,NA,70,12pm,73,NA,NA,61,6pm,70,NA,NA
cleveland,Thu, Sep 5,54,12am,57,NA,NA,52,6am,72,NA,NA,72,12pm,73,NA,NA,54,6pm,70,NA,NA
cleveland,Fri, Sep 6,52,12am,55,NA,NA,52,6am,73,NA,NA,70,12pm,73,NA,NA,68,6pm,70,NA,NA
cleveland,Sat, Sep 7,61,12am,66,NA,NA,61,6am,70,NA,NA,72,12pm,75,NA,NA,63,6pm,72,NA,NA
